Player,Total Points,Games Played,Team
Jalen Brunson,0,0,Andrew
Luka Doncic,0,0,Andrew
Derrick White,0,0,Andrew
Bradley Beal,0,0,Andrew
Paolo Banchero,0,0,Andrew
Myles Turner,0,0,Andrew
Kentavious Caldwell-Pope,0,0,Andrew
Josh Hart,0,0,Andrew
Jamal Murray,0,0,Jono
Anthony Edwards,0,0,Jono
Donte DiVincenzo,0,0,Jono
Chet Holmgren,0,0,Jono
OG Anunoby,0,0,Jono
Russell Westbrook,0,0,Jono
Nickeil Alexander-Walker,0,0,Jono
Brandon Ingram,17,1,Jono
Jaylen Brown,0,0,Connor
Kristaps Porzingis,0,0,Connor
Jalen Williams,0,0,Connor
Karl-Anthony Towns,0,0,Connor
Tyrese Maxey,0,0,Connor
Franz Wagner,0,0,Connor
Naz Reid,0,0,Connor
Al Horford,0,0,Connor
Shai Gilgeous-Alexander,0,0,Joe
Kyrie Irving,0,0,Joe
Tyrese Haliburton,0,0,Joe
Darius Garland,0,0,Joe
Aaron Gordon,0,0,Joe
LeBron James,0,0,Joe
James Harden,22,1,Joe
Payton Pritchard,0,0,Joe
Jayson Tatum,0,0,Julian
Donovan Mitchell,32,1,Julian
Kevin Durant,0,0,Julian
Pascal Siakam,0,0,Julian
Michael Porter Jr.,0,0,Julian
Rudy Gobert,0,0,Julian
Anthony Davis,0,0,Julian
Tim Hardaway Jr.,0,0,Julian
Nikola Jokic,0,0,Sam
Devin Booker,0,0,Sam
Paul George,0,0,Sam
Joel Embiid,0,0,Sam
Damian Lillard,0,0,Sam
Jrue Holiday,0,0,Sam
Giannis Antetokounmpo,0,0,Sam
Josh Giddey,0,0,Sam
